                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9022,                 4.4135,                 5.7772,                 1.8716,                0.14699,                0.11475,                0.05939,                0.02509,                0.10369,                0.13115,                0.04555,                0.02325,                  2.031,                 4.0549,                  6.638,                 2.2012,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.6763,                 3.8074,                 2.7258,                 1.6918,                0.33251,                0.21311,                 0.1974,                0.09201,                0.30417,                0.21502,                 0.1848,                0.07077,                 1.8406,                 3.5297,                 3.1827,                 2.0823,               0.077451,              0.0024505,              0.0024505
                      2,                 1.6352,                 3.2701,                  2.143,                 1.6159,                0.33609,                 0.2623,                 0.2458,                0.11849,                0.29326,                0.22951,                0.21215,                0.08328,                 1.7274,                 3.3668,                 2.6851,                 1.9392,                0.06565,              0.0036495,              0.0036495
                      3,                 1.4557,                 2.8722,                 1.7538,                 1.5105,                 0.4259,                0.32787,                0.31282,                0.14282,                0.35056,                0.27869,                0.26386,                0.10132,                 1.8707,                 3.3936,                 2.7452,                 2.0786,               0.053797,              0.0047971,              0.0047971
                      4,                 1.4706,                 2.8721,                  1.638,                 1.4618,                0.68978,                0.44262,                0.50186,                0.22882,                0.58831,                0.37705,                0.40478,                0.14136,                 1.7578,                 3.2364,                  1.906,                 1.8841,               0.041893,              0.0058931,              0.0058931
                      5,                 1.4687,                 2.7836,                 1.8298,                 1.4442,                0.36465,                0.47048,                0.36148,                0.16837,                0.37736,                0.48687,                0.34789,                0.11686,                 1.8391,                   3.22,                 1.8563,                 1.7853,               0.029938,              0.0069377,              0.0069377
                      6,                 1.4801,                  2.766,                 1.5753,                 1.4433,                0.66249,                 0.5082,                0.57887,                0.25643,                0.69536,                0.47541,                0.55331,                0.19811,                  1.805,                 2.9348,                 1.7197,                 1.7548,               0.017931,              0.0079308,              0.0079308
                      7,                  1.452,                 2.6937,                 1.8174,                 1.4617,                0.43016,                 0.5198,                0.46422,                0.19352,                0.41449,                0.52225,                 0.3948,                0.13939,                 1.9574,                 3.1138,                 1.7562,                 2.0467,               0.008614,               0.008614,               0.008614
                      8,                 1.6283,                 2.8607,                 1.5874,                 1.5457,                0.39866,                0.39344,                 0.3651,                0.16888,                0.72234,                 0.2459,                0.34598,                0.12277,                 1.8616,                 3.3062,                  2.157,                 1.8697,               0.008614,               0.008614,               0.008614
                      9,                 1.5476,                 2.7892,                 1.4935,                 1.4765,                0.55813,                0.52459,                0.52651,                0.22918,                0.45348,                0.42623,                0.42028,                0.16596,                 1.9021,                  3.662,                 1.8938,                 1.9286,               0.008416,               0.008416,               0.008416
                     10,                 1.4556,                  2.627,                 1.4791,                 1.3934,                0.48907,                0.60656,                0.55705,                0.27899,                0.61924,                0.42623,                  0.506,                0.20115,                 1.6325,                 3.0892,                 2.4193,                 1.7073,               0.008218,               0.008218,               0.008218
                     11,                 1.4782,                 2.5487,                 1.3426,                 1.4244,                0.48111,                0.50165,                0.46928,                 0.2439,                0.62121,                0.39344,                0.45238,                0.19415,                 1.8286,                  3.325,                 2.5267,                 1.9689,                0.00802,                0.00802,                0.00802
